	user	instance	user_id
601	cbrueffer	mastodon.social	109247699745955482
602	jagephart	mstdn.social	109296812954967653
603	johnholbein	econtwitter.net	109298467548425214
604	kali	mstdn.science	109303960524611473
605	goanta	someone.elses.computer	109302193404535981
606	YosephBarash	genomic.social	109297881465378050
607	ElineVG	fosstodon.org	109263963818176188
608	davidamckay	mstdn.social	109381624707813667
609	alex_wuttke	sciences.social	109500835379379715
610	tseu	econtwitter.net	109303203431703209
611	MichielKienhuis	spore.social	109511472489293398
612	samirawadnunez	mastodon.social	109359909834612098
613	fran_bottanelli	mstdn.science	109304087176485955
614	EckhardLab	mstdn.science	109331963656139712
615	IanSudbery	genomic.social	109301898169455161
616	christianfiebach	neuromatch.social	109551995585959679
617	c4burns	universeodon.com	109328573191085044
618	dhana	mstdn.science	109381642695826534
619	thonigr	social.tchncs.de	109313285020602165
620	AlixVidal	ecoevo.social	109636866433828794
621	jeffrlin	econtwitter.net	109288865140429450
622	A_J_Millar	fediscience.org	109292284331721337
623	katharinewillis	mastodon.green	109295904994558514
624	oliviermarre	qoto.org	
625	takayukihir	ohai.social	109536321326069913
626	isisgiraldo	tooting.ch	109375781580725242
627	yasha	mastodon.lol	
